Geneid	control1_BAM	control2_BAM	control3_BAM	treated1_BAM	treated2_BAM	treated3_BAM
b0201	218	302	112	169	552	183
b0202	139	211	200	162	95	194
b0203	744	1328	948	592	1249	345
b0204	3225	475	214	319	656	185
b0205	2	2	2	10	4	1
b0206	5439	6180	2821	5345	7403	4364
b0216	7643	4569	5483	8332	3795	4338
b0244	64	52	57	68	53	64
b0455	5435	3398	2796	3093	3143	1561
b0536	184	56	75	92	96	96
b0664	582	1159	1316	1522	768	1491
b0665	1157	1272	1791	2950	1900	2048
b0666	972	743	1193	1285	758	1291
b0668	1132	891	1636	1627	1538	1585
b0670	841	624	933	678	779	663
b0672	1767	1918	1767	2151	1687	2256
b0673	7598	4510	4744	4630	4003	4876
b0743	1122	2216	2884	1840	1547	2054
b0744	1443	3958	5106	3620	3041	2664
b0745	301	421	513	372	314	480
b0746	862	2398	3317	1868	1297	1633
b0747	59	125	122	126	61	68
b0748	725	2172	2607	1810	1424	1429
b0749	667	1629	2143	1343	893	1302
b0883	2508	795	2106	1879	867	1403
b0971	1439	1040	499	824	940	697
b1032	12140	12983	3788	4180	5471	2307
b1230	292	449	449	461	376	339
b1231	830	987	1018	1110	839	1229
b1574	3	4	4	4	6	2
b1665	152	64	102	66	84	63
b1666	247	107	135	148	195	127
b1909	288	185	170	155	208	178
b1910	1282	720	521	602	865	456
b1911	983	890	1272	916	1068	842
b1954	5	6	5	0	0	1
b1975	5600	4205	1847	2641	3554	2284
b1977	152	109	128	122	107	113
b1984	176	114	183	136	134	126
b1986	64	68	83	63	37	48
b1989	41	34	41	31	20	32
b2189	565	526	463	400	325	426
b2348	99	36	25	24	48	28
b2396	602	519	708	709	389	488
b2397	675	521	741	567	469	647
b2401	1977	2799	3102	2461	2370	2052
b2402	6372	7291	6727	6129	5226	4420
b2403	779	2151	1157	1378	1239	1470
b2404	20	31	30	16	12	20
b2588	2	1	6	3	0	0
b2589	425	396	1045	242	262	158
b2590	1055	1002	1440	1188	1297	1070
b2591	5417	357	287	235	267	107
b2652	0	1	0	2	0	0
b2691	359	968	540	492	525	408
b2692	159	215	280	218	208	127
b2693	4491	2574	2741	2185	2409	2081
b2694	4325	3459	3611	3151	3653	3290
b2695	27158	19376	10702	15298	21891	8239
b2814	613	628	802	381	399	253
b2815	1554	1908	2581	1181	808	1280
b2816	390	1678	2410	870	529	881
b2864	554	214	98	201	254	104
b2911	78713	55805	76423	36537	23295	41262
b2967	52	74	49	54	64	50
b3069	11	5	10	3	3	4
b3123	49387	56691	67583	43202	44144	36163
b3171	16169	14105	9819	9197	12332	8254
b3174	1562	3801	4170	4548	3741	3300
b3272	12	20	31	29	4	9
b3273	1922	954	787	950	897	901
b3274	0	4	15	6	5	1
b3275	486	2029	1045	1036	1181	864
b3276	637	2376	3464	1175	1173	761
b3277	279	2822	3546	1736	6648	4133
b3278	337	2361	429	1128	786	782
b3545	258	105	181	168	176	202
b3658	4116	1990	1998	1476	2135	1661
b3756	152	290	199	182	187	163
b3757	4083	12695	12326	6321	10439	4769
b3758	198	290	209	272	186	128
b3759	10	14	5	2	9	3
b3760	31292	33301	20205	23450	22339	26195
b3761	546	484	230	389	412	458
b3796	1473	1305	2066	1592	1764	1709
b3797	2470	1087	1005	949	1156	815
b3798	1579	2069	2346	1092	1090	990
b3799	506	1188	1304	819	677	633
b3851	107	148	86	129	47	71
b3852	188	805	914	946	538	562
b3853	1939	457	889	1966	381	1214
b3854	91	127	99	117	85	67
b3855	35	88	60	31	6	5
b3864	242	466	653	98	114	180
b3968	142	1913	156	589	741	96
b3969	398	632	905	1000	563	615
b3970	241	438	163	542	211	175
b3971	4	4	9	7	2	4
b3976	340	148	217	204	193	193
b3977	5906	10464	9005	10995	7668	8488
b3978	7729	9836	8737	8936	7316	7840
b3979	662	278	355	364	317	382
b4007	194	701	178	240	205	149
b4008	2930	9433	7469	4529	6678	3469
b4009	127	7412	173	721	192	197
b4010	0	4	3	14	6	6
b4134	60	47	40	29	22	17
b4163	326	487	663	352	250	263
b4164	8881	104	1012	91	61	116
b4165	208	224	241	181	144	161
b4270	1335	992	898	794	600	736
b4368	1017	1326	1503	829	905	808
b4369	9878	8486	7485	5428	6102	5406
b4370	618	890	1020	516	574	457
b4408	2539	3838	5468	950	693	1113
b4413	7	6	4	8	9	11
b4414	809	3594	2345	5070	3563	3317
b4416	54	40	15	52	60	53
b4417	16	15	20	15	14	5
b4418	86	168	146	125	152	130
b4420	21	21	23	29	13	15
b4422	1	1	0	5	1	0
b4424	2	9	12	10	9	5
b4425	291	313	327	1567	1401	1319
b4426	54	43	56	37	26	28
b4427	19	8	28	8	12	6
b4429	34	45	58	40	23	56
b4430	4	4	3	2	0	1
b4431	0	2	1	4	3	3
b4432	34	33	28	50	51	21
b4433	0	0	0	0	0	0
b4434	11	51	59	3	5	12
b4435	0	0	5	0	7	1
b4436	96	328	99	83	80	86
b4437	107	91	121	163	103	118
b4438	27	40	39	60	37	59
b4439	4	5	7	2	4	2
b4440	129	229	194	261	189	160
b4441	973	2098	2279	2196	1193	1868
b4442	147	154	271	101	67	54
b4443	1434	4803	3737	2925	1944	2425
b4444	22	15	11	4	5	9
b4445	12	16	18	11	3	6
b4446	171	106	85	87	43	153
b4447	555	214	322	190	179	171
b4449	271	467	342	466	510	543
b4450	92	83	103	108	94	72
b4451	8	4	6	2	4	2
b4452	20	19	31	13	13	14
b4454	24	28	22	33	22	21
b4456	1047	1770	1874	1435	1050	1158
b4457	2315	2828	2566	1635	1491	1471
b4458	8	5	4	4	2	1
b4459	26	31	24	17	9	21
b4577	24	31	42	24	22	25
b4585	7	9	4	6	4	14
b4597	18	34	23	31	22	22
b4603	0	0	2	0	0	2
b4608	6	8	12	7	3	5
b4609	581	353	297	298	175	236
b4611	753	593	399	447	344	397
b4616	1	3	1	5	3	3
b4624	73	49	54	51	42	85
b4625	9	8	15	13	34	13
b4690	48	15	34	22	10	17
b4691	2670	2080	1414	1518	1082	1523
b4698	19	39	31	32	20	34
b4699	8	7	45	7	6	1
b4701	0	0	1	1	1	0
b4704	0	0	1	0	0	0
b4707	330	270	326	327	344	310
b4712	17	16	18	20	16	26
b4713	5	12	19	20	13	14
b4714	0	0	0	0	1	0
b4716	30	13	15	16	4	15
b4717	95	118	115	158	78	122
b4718	3	2	8	1	0	1
b4719	13	20	12	37	39	20
b4758	42	12	32	25	18	23
b4759	4	15	20	45	10	16
b4760	3	12	11	18	6	13
b4761	121	162	323	144	156	181
b4762	69	39	44	33	36	34
b4763	356	491	443	317	213	284
b4764	126	129	192	59	42	49
b4804	3967	2317	2027	3404	3178	2447
b4805	1788	235	2297	285	125	119
b4806	3	12	2	14	10	7
b4807	53	3	26	46	27	57
b4808	0	1	0	10	17	12
b4809	17	40	43	31	25	34
b4810	1601	1163	1229	618	535	588
b4811	22	22	20	27	29	28
b4813	18	23	1014	19	6	9
b4814	37	23	37	39	14	22
b4825	344	165	755	614	701	315
b4826	3	0	1	1	0	2
b4827	23	22	15	21	8	18
b4828	8	4	5	15	9	12
b4829	123	15	16	75	37	21
b4830	62	64	61	24	12	13
b4831	292	155	172	75	60	86
b4832	20	28	30	8	6	12
b4833	0	0	0	0	0	0
b4834	19	31	13	17	16	16
b4835	5	2	3	6	1	3
b4836	1195	401	1133	254	234	284
b4838	604	1103	991	499	423	339
b4839	6	6	6	20	13	8
b4840	1927	1720	2224	1414	1828	1281
b4841	1063	839	849	583	588	599
b4842	238	264	286	203	194	179
b4843	181	166	143	126	103	132
b4844	134	82	150	74	68	69
b4846	62	56	79	69	66	79
