Geneid	control3_BAM
b4413	4
b4762	44
b4577	42
b4810	1229
b4840	2224
b4414	2345
b4809	43
b0201	112
b0202	200
b0203	948
b0204	214
b0205	2
b0206	2821
b0216	5483
b0244	57
b4690	34
b0455	2796
b4585	4
b4831	172
b0536	75
b4835	3
b4763	443
b0664	1316
b0665	1791
b0666	1193
b0668	1636
b0670	933
b0672	1767
b0673	4744
b4808	0
b4764	192
b0743	2884
b0744	5106
b0745	513
b0746	3317
b0747	122
b0748	2607
b0749	2143
b4814	37
b4416	15
b4417	20
b0883	2106
b0971	499
b1032	3788
b4826	1
b4418	146
b4832	30
b4843	143
b4806	2
b4420	23
b4422	0
b4424	12
b4813	1014
b4425	327
b1230	449
b1231	1018
b4426	56
b4699	45
b4714	0
b4833	0
b4427	28
b4597	23
b4429	58
b4698	31
b1574	4
b1665	102
b1666	135
b4430	3
b4431	1
b4432	28
b4433	0
b4717	115
b4828	5
b4839	6
b4434	59
b4759	20
b1909	170
b1910	521
b1911	1272
b4719	12
b4827	15
b1954	5
b4603	2
b1975	1847
b1977	128
b1984	183
b1986	83
b1989	41
b4435	5
b4436	99
b4437	121
b4438	39
b2189	463
b4439	7
b2348	25
b2396	708
b2397	741
b2401	3102
b2402	6727
b2403	1157
b2404	30
b4761	323
b4811	20
b4440	194
b4441	2279
b4608	12
b2588	6
b2589	1045
b2590	1440
b2591	287
b4609	297
b4805	2297
b2652	0
b4442	271
b2691	540
b2692	280
b2693	2741
b2694	3611
b2695	10702
b4701	1
b4844	150
b4408	5468
b4443	3737
b2814	802
b2815	2581
b2816	2410
b4444	11
b4445	18
b2864	98
b2911	76423
b4446	85
b2967	49
b4447	322
b4611	399
b3069	10
b3123	67583
b4449	342
b3171	9819
b3174	4170
b4450	103
b3272	31
b3273	787
b3274	15
b3275	1045
b3276	3464
b3277	3546
b3278	429
b4846	79
b4841	849
b4842	286
b4451	6
b4712	18
b4713	19
b4704	1
b4718	8
b4452	31
b4454	22
b3545	181
b4834	13
b4760	11
b3658	1998
b4829	16
b4616	1
b4804	2027
b3756	199
b3757	12326
b3758	209
b3759	5
b3760	20205
b3761	230
b3796	2066
b3797	1005
b3798	2346
b3799	1304
b4456	1874
b4707	326
b3851	86
b3852	914
b3853	889
b3854	99
b3855	60
b3864	653
b4457	2566
b4836	1133
b4716	15
b4458	4
b3968	156
b3969	905
b3970	163
b3971	9
b3976	217
b3977	9005
b3978	8737
b3979	355
b4691	1414
b4007	178
b4008	7469
b4009	173
b4010	3
b4830	61
b4807	26
b4758	32
b4459	24
b4134	40
b4825	755
b4163	663
b4164	1012
b4165	241
b4270	898
b4624	54
b4838	991
b4625	15
b4368	1503
b4369	7485
b4370	1020
