Geneid	treated1_BAM
b4413	8
b4762	33
b4577	24
b4810	618
b4840	1414
b4414	5070
b4809	31
b0201	169
b0202	162
b0203	592
b0204	319
b0205	10
b0206	5345
b0216	8332
b0244	68
b4690	22
b0455	3093
b4585	6
b4831	75
b0536	92
b4835	6
b4763	317
b0664	1522
b0665	2950
b0666	1285
b0668	1627
b0670	678
b0672	2151
b0673	4630
b4808	10
b4764	59
b0743	1840
b0744	3620
b0745	372
b0746	1868
b0747	126
b0748	1810
b0749	1343
b4814	39
b4416	52
b4417	15
b0883	1879
b0971	824
b1032	4180
b4826	1
b4418	125
b4832	8
b4843	126
b4806	14
b4420	29
b4422	5
b4424	10
b4813	19
b4425	1567
b1230	461
b1231	1110
b4426	37
b4699	7
b4714	0
b4833	0
b4427	8
b4597	31
b4429	40
b4698	32
b1574	4
b1665	66
b1666	148
b4430	2
b4431	4
b4432	50
b4433	0
b4717	158
b4828	15
b4839	20
b4434	3
b4759	45
b1909	155
b1910	602
b1911	916
b4719	37
b4827	21
b1954	0
b4603	0
b1975	2641
b1977	122
b1984	136
b1986	63
b1989	31
b4435	0
b4436	83
b4437	163
b4438	60
b2189	400
b4439	2
b2348	24
b2396	709
b2397	567
b2401	2461
b2402	6129
b2403	1378
b2404	16
b4761	144
b4811	27
b4440	261
b4441	2196
b4608	7
b2588	3
b2589	242
b2590	1188
b2591	235
b4609	298
b4805	285
b2652	2
b4442	101
b2691	492
b2692	218
b2693	2185
b2694	3151
b2695	15298
b4701	1
b4844	74
b4408	950
b4443	2925
b2814	381
b2815	1181
b2816	870
b4444	4
b4445	11
b2864	201
b2911	36537
b4446	87
b2967	54
b4447	190
b4611	447
b3069	3
b3123	43202
b4449	466
b3171	9197
b3174	4548
b4450	108
b3272	29
b3273	950
b3274	6
b3275	1036
b3276	1175
b3277	1736
b3278	1128
b4846	69
b4841	583
b4842	203
b4451	2
b4712	20
b4713	20
b4704	0
b4718	1
b4452	13
b4454	33
b3545	168
b4834	17
b4760	18
b3658	1476
b4829	75
b4616	5
b4804	3404
b3756	182
b3757	6321
b3758	272
b3759	2
b3760	23450
b3761	389
b3796	1592
b3797	949
b3798	1092
b3799	819
b4456	1435
b4707	327
b3851	129
b3852	946
b3853	1966
b3854	117
b3855	31
b3864	98
b4457	1635
b4836	254
b4716	16
b4458	4
b3968	589
b3969	1000
b3970	542
b3971	7
b3976	204
b3977	10995
b3978	8936
b3979	364
b4691	1518
b4007	240
b4008	4529
b4009	721
b4010	14
b4830	24
b4807	46
b4758	25
b4459	17
b4134	29
b4825	614
b4163	352
b4164	91
b4165	181
b4270	794
b4624	51
b4838	499
b4625	13
b4368	829
b4369	5428
b4370	516
