"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0201",263.385240083835,0.84828533789967,0.63022452063714,1.34600497143792,0.178300913294313,0.619385488027837
"b0202",164.529017134688,0.0410069745842501,0.397106783797509,0.103264351699316,0.917753167547947,0.970420626921223
"b0203",850.35682187781,-0.135475143730773,0.54168334147574,-0.2501002585047,0.802509816071537,0.96488016732503
"b0204",821.825524473887,-1.49731376806158,0.948989385751744,-1.57779822466136,0.114611971830612,0.528847890146417
"b0205",3.54379959498631,1.59297249685402,1.09048590273745,1.46079146264539,0.144072679466785,0.59125501187941
"b0206",5321.02207688347,0.555753392741896,0.43951243022735,1.2644770762329,0.206058843566708,0.619385488027837
"b0216",5632.91605359604,0.170899883502605,0.423061253785711,0.403960140460343,0.686242030398823,0.959440395180828
"b0244",59.8850823817985,0.406443373450794,0.336393249364639,1.20823879259903,0.226955424195951,0.623603169392377
"b0455",3174.98622688531,-0.292146916150211,0.450595348457661,-0.648357594347563,0.516753690885044,0.861256151475073
"b0536",100.42510085562,0.139344982804942,0.551670222491279,0.252587464619128,0.800587017766315,0.96488016732503
"b0664",1143.5532809991,0.634796396370591,0.444935883910088,1.42671431845868,0.15366225675265,0.597575442926972
"b0665",1884.83631591908,1.01856698821623,0.307890982195076,3.30820662870496,0.000938955038065666,0.0246475697492237
"b0666",1045.90677527068,0.509779437006606,0.368070476714918,1.38500496306159,0.166050949787119,0.611766657110438
"b0668",1419.74016890602,0.697045771060385,0.331029596881608,2.10569017884429,0.0352312734957744,0.255123014969401
"b0670",749.053413624189,0.139710722637424,0.306052930551953,0.456492027001546,0.64803620289518,0.938535190399916
"b0672",1935.35291083475,0.477773729314411,0.258915357394119,1.84528926411711,0.0649954713644408,0.401442617250958
"b0673",5027.54679837657,-0.0166429390106866,0.365290762170248,-0.0455607990517153,0.963660314531054,0.985397054315266
"b0743",1918.29388873345,0.145799525701368,0.412077225950399,0.353816024084081,0.72347676383161,0.96488016732503
"b0744",3244.67175846808,0.161099268013983,0.48059414753532,0.335208551415295,0.73746777174454,0.96488016732503
"b0745",398.424257649935,0.251822675888356,0.352227220797949,0.714943823245311,0.474643756454205,0.844145043959787
"b0746",1840.79838702128,-0.118618996174409,0.504018091170527,-0.235346703327512,0.813939648886597,0.96488016732503
"b0747",91.1262003017396,0.0451902383118324,0.449114032214584,0.100620855885974,0.919851440127196,0.970420626921223
"b0748",1659.1599439297,0.0954547227808169,0.488680552811874,0.195331535563609,0.845133410721256,0.96488016732503
"b0749",1299.9578041973,0.00906314018869725,0.473130681758848,0.0191556805299655,0.984716912922092,0.989428477098753
"b0883",1569.49124376915,-0.098950574796375,0.536457796740997,-0.184451741399797,0.853659082306788,0.96488016732503
"b0971",903.102851933939,0.0200784452341947,0.479905625302203,0.0418383202354651,0.966627586614022,0.985397054315266
"b1032",6531.37876390919,-0.977384549865038,0.578454789113855,-1.68964726070003,0.0910954585828752,0.490514007753943
"b1230",391.221624501339,0.300753190132756,0.288695885487465,1.04176472631375,0.29752077172346,0.702250211851377
"b1231",1007.33071148161,0.487397448142009,0.28487978105219,1.71088817304559,0.0871017583077504,0.481351822227041
"b1574",3.83421333630505,0.442564050861889,0.895498453245846,0.494209732309152,0.62115806717551,0.92271291169457
"b1665",87.2779370481798,-0.27554731013461,0.462509073812992,-0.595766279487141,0.551331373473209,0.888936260784763
"b1666",160.695605698198,0.23984519513763,0.469570631385225,0.510775544948564,0.60950823509332,0.92271291169457
"b1909",197.071375198595,0.0610027330446074,0.393225994003832,0.155134029730529,0.876715655085535,0.96488016732503
"b1910",736.246733028779,-0.0976345338764271,0.493679138614488,-0.197769211294686,0.843225636180598,0.96488016732503
"b1911",988.780596172489,0.16673427068843,0.289998190096246,0.574949349280743,0.565325553076901,0.892619294331948
"b1954",2.5670799044629,-3.57845113682949,1.48240741341906,-2.41394579144478,0.0157808100109161,0.175300142614764
"b1975",3324.20558346141,-0.160204148666509,0.505661932703157,-0.316820662789648,0.751379684636551,0.96488016732503
"b1977",121.160738659122,0.121894439545297,0.314706323425289,0.387327582803509,0.69851370797917,0.960830802373751
"b1984",143.595430364314,0.0552809269219745,0.339096988038002,0.163023939675274,0.870499585680952,0.96488016732503
"b1986",58.9129617704385,-0.229384863806338,0.352232625351522,-0.651231167406528,0.514897273852132,0.861256151475073
"b1989",32.5641283824007,-0.170944470288282,0.410075913511552,-0.416860548634652,0.676780411418586,0.959440395180828
"b2189",444.276449609188,-0.120213672634026,0.288307069599841,-0.41696401271352,0.676704730564477,0.959440395180828
"b2348",43.0366267943598,-0.383946667603789,0.666052497956676,-0.576451058710335,0.564310341235907,0.892619294331948
"b2396",560.949789182545,0.0944150357800831,0.326488388894787,0.289183441100899,0.772441002856178,0.96488016732503
"b2397",599.62104768638,0.115137878539177,0.31567093313402,0.364740197635791,0.715305349333965,0.962911047180337
"b2401",2429.84259092134,0.128513478282936,0.270387592291333,0.475293548767829,0.634577756656984,0.925425895124769
"b2402",5919.03698875235,-0.0609083060160875,0.226205592263246,-0.269260832177861,0.787728970824427,0.96488016732503
"b2403",1356.19229528004,0.335246097561378,0.435001385834684,0.770678228801744,0.440897679539842,0.844145043959787
"b2404",20.8372278377863,-0.42788281884596,0.474732240331962,-0.901314009233411,0.367421387266506,0.769706337930405
"b2588",1.82908656372622,-1.3215007027621,1.61588504811268,-0.817818510237215,0.413460826939843,0.83487282362853
"b2589",395.758643329999,-1.17056979665715,0.485288699237564,-2.41211014906431,0.0158604890937167,0.175300142614764
"b2590",1174.63685919394,0.344748659810256,0.28146512414796,1.22483615280531,0.220636960427643,0.623603169392377
"b2591",1056.73422614303,-3.08302243854277,1.02726982023088,-3.0011807782398,NA,NA
"b2652",0.484137826855701,1.12067620257767,3.00488562390043,0.372951367487658,0.709184639847293,0.960830802373751
"b2691",536.941715280703,-0.0590805841873853,0.429621143568386,-0.137517869108276,0.890621469419369,0.96488016732503
"b2692",197.617344240522,0.0740470298013009,0.362579887949276,0.204222661714926,0.838179503038355,0.96488016732503
"b2693",2707.3478804227,-0.25303504328205,0.372108514211631,-0.680003368958496,0.496502327732852,0.847686901007308
"b2694",3570.58329676078,0.139968993547638,0.282844408661127,0.49486215481577,0.620697426587874,0.92271291169457
"b2695",16977.33028362,-0.0415456792897321,0.532933190679835,-0.0779566369974713,0.937862546633269,0.972425665193939
"b2814",492.238386316206,-0.670486031492313,0.305107414086903,-2.19754093324438,0.0279818364199433,0.226007140314927
"b2815",1494.75423479939,-0.560197071468313,0.342739143874355,-1.63447065058223,0.10216006398648,0.509868354234243
"b2816",1070.03585807353,-0.628348243765057,0.623902922785889,-1.00712502028251,0.313874698984181,0.716453117246501
"b2864",234.889491082872,-0.363520188147413,0.691392068131375,-0.525780096277209,0.599041005205209,0.92271291169457
"b2911",50108.1941708836,-0.749302665542144,0.364871175170928,-2.05360882561119,0.040013567262637,0.280094970838459
"b2967",57.0102697764868,0.261825926588568,0.365203028169014,0.716932518060603,0.473415736121974,0.844145043959787
"b3069",5.74910154721168,-1.06621453374161,0.798864148355199,-1.33466314133243,0.181986622244751,0.619385488027837
"b3123",48451.0263868828,-0.171494909969724,0.245234011726705,-0.699311277266234,0.484357520873983,0.844145043959787
